"Ref";"id_10WEB.io";"PD#PN";"Post_Number_Calc";"Post_Number_plus_Fin-dex";"Post_Number_v1.0";"Fix";"Calc1";"Calc2";"Calc3";"Post_list!";"Main_Section?";"Surprise!";"Post?";"Tier?";"Fin-dex";"New_Ref";"TransMission";"Post_Name_English";"MS_Code_Number";"Main_Section_Title_for_Categorisation";"Nome_do_Post_Brasileirinho";"Temp_Notes";"Repetead?";"Rp_in";"Rp_out";"Where_the_Post_has_been_found?";"MainSection_Code";"Temp";"Server_Post_Path-2nd_Strip";"Server_Post_Path-1st_Strip";"Server_Post_Path-Complete_with_post_name";"Remarks";"URL"
124;;"KD.FF.028";"KD.FF.28";"118 - KD.FF.28";;;"KD";"FF";28;"FALSO";"FALSO";"FALSO";"VERDADEIRO";;118;118;"VERDADEIRO";"Types of Bodies in 31 Realms – Connection to Jhāna";;;;"O";"VERDADEIRO";1;2;"03 - Key Dhamma Concepts";"KD";1;;;"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anatta – A Systematic Analysis » Types of Bodies in 31 Realms – Connection to Jhāna";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anatta-systematic-analysis/31-realms-connection-to-jhana/"
125;;"KD.FF.029";"KD.FF.29";"119 - KD.FF.29";;;"KD";"FF";29;"FALSO";"FALSO";"FALSO";"VERDADEIRO";;119;119;"VERDADEIRO";"Finest Manōmaya Kaya of an Arūpāvacara Brahma";;;;"O";"VERDADEIRO";1;2;"03 - Key Dhamma Concepts";"KD";1;;;"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anatta – A Systematic Analysis » Finest Manōmaya Kaya of an Arūpāvacara Brahma";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anatta-systematic-analysis/manomaya-kaya-of-arupavacara-brahma/"
127;;"KD.FF.019";"KD.FF.19";"120 - KD.FF.19";;;"KD";"FF";19;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;120;120;"VERDADEIRO";"Anatta and Dukkha – True Meanings";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anatta and Dukkha – True Meanings";;"https://puredhamma.net/key-dhamma-concepts/anatta-why-the-concept-of-no-soul-could-be-as-bad-as-the-concept-of-a-soul/"
128;;"KD.FF.020";"KD.FF.20";"121 - KD.FF.20";;;"KD";"FF";20;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;121;121;"VERDADEIRO";"Anicca, Dukkha, Anatta – According to Some Key Suttā";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anicca, Dukkha, Anatta – According to Some Key Suttā";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/tilakkhana-according-to-some-key-sutta/"
129;;"KD.FF.021";"KD.FF.21";"122 - KD.FF.21";;;"KD";"FF";21;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;122;122;"VERDADEIRO";"Tilakkhana – English Discourses";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Tilakkhana – English Discourses";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/tilakkhana-english-discourses/"
130;;"KD.FF.022";"KD.FF.22";"123 - KD.FF.22";;;"KD";"FF";22;"VERDADEIRO";"FALSO";"FALSO";"FALSO";;123;123;"VERDADEIRO";"Sotāpanna Stage and Tilakkhaṇa";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;;;"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Sotāpanna Stage and Tilakkhaṇa";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/sotapanna-stage-and-tilakkhana/"
131;;"KD.FF.023";"KD.FF.23";"124 - KD.FF.23";;;"KD";"FF";23;"FALSO";"FALSO";"FALSO";"VERDADEIRO";;124;124;"VERDADEIRO";"Sakkāya Diṭṭhi and Tilakkhana";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;;;"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Sotāpanna Stage and Tilakkhaṇa » Sakkāya Diṭṭhi and Tilakkhana";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/sotapanna-stage-and-tilakkhana/sakkaya-ditthi-and-tilakkhana/"
132;;"KD.FF.024";"KD.FF.24";"125 - KD.FF.24";;;"KD";"FF";24;"FALSO";"FALSO";"FALSO";"VERDADEIRO";;125;125;"VERDADEIRO";"Sakkāya Diṭṭhi – Getting Rid of Deeper Wrong Views";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;;;"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Sotāpanna Stage and Tilakkhaṇa » Sakkāya Diṭṭhi – Getting Rid of Deeper Wrong Views";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/sotapanna-stage-and-tilakkhana/sakkaya-ditthi-deeper-wrong-views/"
133;;"KD.FF.025";"KD.FF.25";"126 - KD.FF.25";;;"KD";"FF";25;"FALSO";"FALSO";"FALSO";"VERDADEIRO";;126;126;"VERDADEIRO";"Associations (Sēvana)- A Root Cause of Wrong Views";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;;;"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Sotāpanna Stage and Tilakkhaṇa » Associations (Sēvana)- A Root Cause of Wrong Views";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/sotapanna-stage-and-tilakkhana/associations-sevana-root-cause-of-wrong-views/"
134;;"KD.FF.026";"KD.FF.26";"127 - KD.FF.26";;;"KD";"FF";26;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;127;127;"VERDADEIRO";"Why are Tilakkhana not Included in 37 Factors of Enlightenment?";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Why are Tilakkhana not Included in 37 Factors of Enlightenment?";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/why-are-tilakkhana-not-included-in-37-factors-of-enlightenment/"
135;;"KD.FF.027";"KD.FF.27";"128 - KD.FF.27";;;"KD";"FF";27;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;128;128;"VERDADEIRO";"Two Versions of 37 Factors of Enlightenment";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Two Versions of 37 Factors of Enlightenment";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/two-versions-of-37-factors-of-enlightenment/"
136;;"KD.FF.028";"KD.FF.28";"129 - KD.FF.28";;;"KD";"FF";28;"FALSO";"FALSO";"FALSO";"VERDADEIRO";;129;129;"VERDADEIRO";"Types of Bodies in 31 Realms – Connection to Jhāna";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;;;"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anatta – A Systematic Analysis » Types of Bodies in 31 Realms – Connection to Jhāna";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anatta-systematic-analysis/31-realms-connection-to-jhana/"
137;;"KD.FF.029";"KD.FF.29";"130 - KD.FF.29";;;"KD";"FF";29;"FALSO";"FALSO";"FALSO";"VERDADEIRO";;130;130;"VERDADEIRO";"Finest Manōmaya Kaya of an Arūpāvacara Brahma";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;;;"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anatta – A Systematic Analysis » Finest Manōmaya Kaya of an Arūpāvacara Brahma";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anatta-systematic-analysis/manomaya-kaya-of-arupavacara-brahma/"
138;;"KD..";"KD..";" - KD..";;"F";"KD";;;"FALSO";"FALSO";"FALSO";"FALSO";0;;;"FALSO";"Also see, “Root Cause of Anicca – Five Stages of a Saṅkata” that is in a different section.";;;;;"FALSO";;;"03 - Key Dhamma Concepts";;0;;;;"Broken Link";
139;;"KD.GG.001";"KD.GG.1";"131 - KD.GG.1";;;"KD";"GG";1;"VERDADEIRO";"FALSO";"FALSO";"FALSO";0;131;131;"VERDADEIRO";"Gati, Bhava, and Jāti";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Gati, Bhava, and Jāti";"Home » Key Dhamma Concepts » Gati, Bhava, and Jāti";;"https://puredhamma.net/key-dhamma-concepts/gati-bhava-jati/"
140;;"KD.GG.002";"KD.GG.2";"132 - KD.GG.2";;;"KD";"GG";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;132;132;"VERDADEIRO";"Namagotta, Bhava, Kamma Bīja, and Mano Loka (Mind Plane)";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Namagotta, Bhava, Kamma Bīja, and Mano Loka (Mind Plane)";;"https://puredhamma.net/key-dhamma-concepts/namagotta-bhava-kamma-beeja-and-mano-loka-mind-plane/"
141;;"KD.GG.003";"KD.GG.3";"133 - KD.GG.3";;;"KD";"GG";3;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;133;133;"VERDADEIRO";"Gati and Bhava – Many Varieties";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Gati, Bhava, and Jāti »";"Home » Key Dhamma Concepts » Gati, Bhava, and Jāti » Gati and Bhava – Many Varieties";;"https://puredhamma.net/key-dhamma-concepts/gati-bhava-jati/gathi-bhava-many-varieties/"
142;;"KD.GG.004";"KD.GG.4";"134 - KD.GG.4";;;"KD";"GG";4;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;134;134;"VERDADEIRO";"Gati to Bhava to Jāti – Ours to Control";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Gati, Bhava, and Jāti »";"Home » Key Dhamma Concepts » Gati, Bhava, and Jāti » Gati to Bhava to Jāti – Ours to Control";;"https://puredhamma.net/key-dhamma-concepts/gati-bhava-jati/gathi-bhava-jati-ours-to-control/"
143;;"KD.GG.005";"KD.GG.5";"135 - KD.GG.5";;;"KD";"GG";5;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;135;135;"VERDADEIRO";"Memory, Brain, Mind, Nama Loka, Kamma Bhava, Kamma Vipāka";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Memory, Brain, Mind, Nama Loka, Kamma Bhava, Kamma Vipāka";;"https://puredhamma.net/key-dhamma-concepts/memory-brain-mind-nama-loka-kamma-bhava-kamma-vipaka/"
144;;"KD.GG.006";"KD.GG.6";"136 - KD.GG.6";;;"KD";"GG";6;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;136;136;"VERDADEIRO";"Bhava and Jāti – States of Existence and Births Therein";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Bhava and Jāti – States of Existence and Births Therein";;"https://puredhamma.net/key-dhamma-concepts/bhava-jati-states-of-existence-and-repeated-births-therein/"
145;;"KD.GG.007";"KD.GG.7";"137 - KD.GG.7";;;"KD";"GG";7;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;137;137;"VERDADEIRO";"Cuti and Marana – Related to Bhava and Jāti";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Gati, Bhava, and Jāti »";"Home » Key Dhamma Concepts » Gati, Bhava, and Jāti » Cuti and Marana – Related to Bhava and Jāti";;"https://puredhamma.net/key-dhamma-concepts/gati-bhava-jati/cuti-and-marana-related-to-bhava-and-jati/"
146;;"KD.GG.008";"KD.GG.8";"138 - KD.GG.8";;;"KD";"GG";8;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;138;138;"VERDADEIRO";"Anusaya, Gati, Bhava – Connection to Manomaya Kāya (Gandhabba)";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Gati, Bhava, and Jāti »";"Home » Key Dhamma Concepts » Gati, Bhava, and Jāti » Anusaya, Gati, Bhava – Connection to Manomaya Kāya (Gandhabba)";;"https://puredhamma.net/key-dhamma-concepts/gati-bhava-jati/anusaya-gati-bhava-connection-to-manomaya-kaya-gandhabba/"
147;;"PS.II.009";"PS.II.9";"139 - PS.II.9";;;"PS";"II";9;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;139;139;"VERDADEIRO";"Difference Between Tanhā and Upādāna";;;;"P";"VERDADEIRO";1;2;"03 - Key Dhamma Concepts";"PS";1;"Home » Paṭicca Samuppāda »";"Home » Paṭicca Samuppāda » Paṭicca Samuppāda in Plain English »";"Home » Paṭicca Samuppāda » Paṭicca Samuppāda in Plain English » Difference Between Tanhā and Upādāna";;"https://puredhamma.net/paticca-samuppada/paticca-samuppada-in-plain-english/difference-between-tanha-and-upadana/"
148;;"KD.GG.009";"KD.GG.9";"140 - KD.GG.9";;;"KD";"GG";9;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;140;140;"VERDADEIRO";"Pāpa Kamma Versus Akusala Kamma";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Gati, Bhava, and Jāti »";"Home » Key Dhamma Concepts » Gati, Bhava, and Jāti » Pāpa Kamma Versus Akusala Kamma";;"https://puredhamma.net/key-dhamma-concepts/gati-bhava-jati/papa-kamma-versus-akusala-kamma/"
149;;"KD.HH.001";"KD.HH.1";"141 - KD.HH.1";;;"KD";"HH";1;"VERDADEIRO";"FALSO";"FALSO";"FALSO";0;141;141;"VERDADEIRO";"Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc)";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc)";"Home » Key Dhamma Concepts » Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc)";;"https://puredhamma.net/key-dhamma-concepts/key-pali-terms-tanha-lobha-dosa-moha/"
150;;"KD.HH.002";"KD.HH.2";"142 - KD.HH.2";;;"KD";"HH";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;142;142;"VERDADEIRO";"Kāma Tanhā, Bhava Tanhā, Vibhava Tanhā";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc) »";"Home » Key Dhamma Concepts » Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc) » Kāma Tanhā, Bhava Tanhā, Vibhava Tanhā";;"https://puredhamma.net/key-dhamma-concepts/key-pali-terms-tanha-lobha-dosa-moha/kama-tanha-bhava-tanha-vibhava-tanha/"
151;;"KD.HH.003";"KD.HH.3";"143 - KD.HH.3";;;"KD";"HH";3;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;143;143;"VERDADEIRO";"Tanhā – How We Attach Via Greed, Hate, and Ignorance";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc) »";"Home » Key Dhamma Concepts » Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc) » Tanhā – How We Attach Via Greed, Hate, and Ignorance";;"https://puredhamma.net/key-dhamma-concepts/key-pali-terms-tanha-lobha-dosa-moha/tanha-how-we-attach-via-greed-hate-and-ignorance/"
152;;"KD.HH.004";"KD.HH.4";"144 - KD.HH.4";;;"KD";"HH";4;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;144;144;"VERDADEIRO";"Lōbha, Rāga and Kāmacchanda, Kāmarāga";;;;"O";"VERDADEIRO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc) »";"Home » Key Dhamma Concepts » Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc) » Lōbha, Rāga and Kāmacchanda, Kāmarāga";;"https://puredhamma.net/key-dhamma-concepts/key-pali-terms-tanha-lobha-dosa-moha/greed-kamachanda-kamaraga-lobha-raga/"
153;;"KD.HH.005";"KD.HH.5";"145 - KD.HH.5";;;"KD";"HH";5;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;145;145;"VERDADEIRO";"Lōbha, Dōsa, Mōha versus Rāga, Paṭigha, Avijjā";;;;"O";"VERDADEIRO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc) »";"Home » Key Dhamma Concepts » Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc) » Lōbha, Dōsa, Mōha versus Rāga, Paṭigha, Avijjā";;"https://puredhamma.net/key-dhamma-concepts/key-pali-terms-tanha-lobha-dosa-moha/lobha-dosa-moha-raga-patigha-avijja/"
154;;"LD.AA.006";"LD.AA.6";"146 - LD.AA.6";;;"LD";"AA";6;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;146;146;"VERDADEIRO";"What Are Kilesa (Mental Impurities)? – Connection to Cetasika";;;;"P";"VERDADEIRO";1;2;"03 - Key Dhamma Concepts";"LD";1;"Home » Living Dhamma »";"Home » Living Dhamma »";"Home » Living Dhamma » What Are Kilesa (Mental Impurities)? – Connection to Cetasika";;"https://puredhamma.net/living-dhamma/what-are-kilesa-mental-impurities-connection-to-cetasika/"
155;;"KD.HH.006";"KD.HH.6";"147 - KD.HH.6";;;"KD";"HH";6;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;147;147;"VERDADEIRO";"What is Avijja (Ignorance)?";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » What is Avijja (Ignorance)?";;"https://puredhamma.net/key-dhamma-concepts/what-is-avijja-ignorance/"
156;;"TL.II.009";"TL.II.9";"148 - TL.II.9";;;"TL";"II";9;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;148;148;"VERDADEIRO";"Vedanā (Feelings) Arise in Two Ways";;;;"P";"VERDADEIRO";1;3;"03 - Key Dhamma Concepts";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Vedanā (Feelings) Arise in Two Ways";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/two-types-of-vedana-feelings/"
157;;"PS.JJ.003";"PS.JJ.3";"149 - PS.JJ.3";;;"PS";"JJ";3;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;149;149;"VERDADEIRO";"Anantara and Samanantara Paccayā";;;;"P";"VERDADEIRO";1;2;"03 - Key Dhamma Concepts";"PS";1;"Home » Paṭicca Samuppāda »";"Home » Paṭicca Samuppāda » Paṭṭhāna Dhamma »";"Home » Paṭicca Samuppāda » Paṭṭhāna Dhamma » Anantara and Samanantara Paccayā";;"https://puredhamma.net/paticca-samuppada/patthana-dhamma/anantara-samanantara-paccaya/"
158;;"KD.HH.007";"KD.HH.7";"150 - KD.HH.7";;;"KD";"HH";7;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;150;150;"VERDADEIRO";"Indriya and Āyatana – Big Difference";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc) »";"Home » Key Dhamma Concepts » Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc) » Indriya and Āyatana – Big Difference";;"https://puredhamma.net/key-dhamma-concepts/key-pali-terms-tanha-lobha-dosa-moha/indriya-and-ayatana-big-difference/"
159;;"TL.EE.013";"TL.EE.13";"151 - TL.EE.13";;;"TL";"EE";13;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;151;151;"VERDADEIRO";"Hetu-Phala, Paccuppanna, and Paṭicca Samuppāda";;;;"P";"FALSO";;;"03 - Key Dhamma Concepts";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Moral Living and Fundamentals » Dhamma Concepts »";"Home » Three Levels of Practice » Moral Living and Fundamentals » Dhamma Concepts » Hetu-Phala, Paccuppanna, and Paṭicca Samuppāda";;"https://puredhamma.net/three-levels-of-practice/moral-living-and-fundamentals/dhamma-concepts/hetu-phala-paccuppanna-and-paticca-samuppada/"
160;;"TL.EE.009";"TL.EE.9";"152 - TL.EE.9";;;"TL";"EE";9;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;152;152;"VERDADEIRO";"Diṭṭhi (Wrong Views), Sammā Diṭṭhi (Good/Correct Views)";;;;"P";"FALSO";;;"03 - Key Dhamma Concepts";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Moral Living and Fundamentals » Dhamma Concepts »";"Home » Three Levels of Practice » Moral Living and Fundamentals » Dhamma Concepts » Diṭṭhi (Wrong Views), Sammā Diṭṭhi (Good/Correct Views)";;"https://puredhamma.net/three-levels-of-practice/moral-living-and-fundamentals/dhamma-concepts/ditthi-wrong-views-samma-ditthi-correct-views/"
161;;"KD.BB.007";"KD.BB.7";"153 - KD.BB.7";;;"KD";"BB";7;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;153;153;"VERDADEIRO";"Correct Meaning of Vacī Sankhāra";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc) »";"Home » Key Dhamma Concepts » Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc) » Correct Meaning of Vacī Sankhāra";;"https://puredhamma.net/key-dhamma-concepts/key-pali-terms-tanha-lobha-dosa-moha/correct-meaning-of-vaci-sankhara/"
162;;"KD.HH.008";"KD.HH.8";"154 - KD.HH.8";;;"KD";"HH";8;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;154;154;"VERDADEIRO";"Pañca Indriya and Pañca Bala – Five Faculties and Five Powers";;;;"O";"VERDADEIRO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc) »";"Home » Key Dhamma Concepts » Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc) » Pañca Indriya and Pañca Bala – Five Faculties and Five Powers";;"https://puredhamma.net/key-dhamma-concepts/key-pali-terms-tanha-lobha-dosa-moha/panca-indriya-and-panca-bala-five-faculties-and-five-powers/"
163;;"KD.HH.009";"KD.HH.9";"155 - KD.HH.9";;;"KD";"HH";9;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;155;155;"VERDADEIRO";"Kāmaccandha and Icca – Being Blinded by Cravings";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc) »";"Home » Key Dhamma Concepts » Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc) » Kāmaccandha and Icca – Being Blinded by Cravings";;"https://puredhamma.net/key-dhamma-concepts/key-pali-terms-tanha-lobha-dosa-moha/kamaccandha-and-icca-being-blinded-by-cravings/"
164;;"KD.DD.002";"KD.DD.2";"156 - KD.DD.2";;;"KD";"DD";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;156;156;"VERDADEIRO";"What is “San”? Meaning of Sansāra (or Saṃsāra)";;;;"O";"VERDADEIRO";2;2;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » What is “San”? Meaning of Sansāra (or Saṃsāra)";;"https://puredhamma.net/key-dhamma-concepts/san-dasa-akusala/"
165;;"KD.II.001";"KD.II.1";"157 - KD.II.1";;;"KD";"II";1;"VERDADEIRO";"FALSO";"FALSO";"FALSO";0;157;157;"VERDADEIRO";"The Five Aggregates (Pañcakkhandha)";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » The Five Aggregates (Pañcakkhandha)";"Home » Key Dhamma Concepts » The Five Aggregates (Pañcakkhandha)";;"https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/"
166;;"KD.II.002";"KD.II.2";"158 - KD.II.2";;;"KD";"II";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;158;158;"VERDADEIRO";"Five Aggregates – Introduction";;;;"O";"VERDADEIRO";1;2;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » The Five Aggregates (Pañcakkhandha) »";"Home » Key Dhamma Concepts » The Five Aggregates (Pañcakkhandha) » Five Aggregates – Introduction";;"https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/five-aggregates-introduction/"
167;;"KD.II.003";"KD.II.3";"159 - KD.II.3";;;"KD";"II";3;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;159;159;"VERDADEIRO";"Difference Between Physical Rūpa and Rūpakkhandha";;;;"O";"FALSO";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » The Five Aggregates (Pañcakkhandha) »";"Home » Key Dhamma Concepts » The Five Aggregates (Pañcakkhandha) » Difference Between Physical Rūpa and Rūpakkhandha";;"https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/difference-between-physical-rupa-and-rupakkhandha/"
