Fin-dex;id_10WEB.io;PD#PN;Post_Name_English;Nome_do_Post_Brasileirinho;MainSection_Code;URL;Slug_Derived
13;31855;BD.CC.002;Mind Is Not in the Brain;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/brain-and-the-gandhabba/mind-is-not-in-the-brain/;mind-is-not-in-the-brain
14;31921;BD.CC.003;Gandhabba in a Human Body – an Analogy;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/brain-and-the-gandhabba/gandhabba-in-a-human-body-an-analogy/;gandhabba-in-a-human-body-an-analogy
15;31975;BD.CC.004;Persistent Vegetative State – Buddhist View;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/brain-and-the-gandhabba/persistent-vegetative-state-buddhist-view/;persistent-vegetative-state-buddhist-view
16;32099;BD.CC.005;Patient H.M. – Different Roles of Brain in Memory;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/brain-and-the-gandhabba/patient-h-m-brain-and-memory/;patient-h-m-brain-and-memory
17;32194;BD.CC.006;Memory Recall for Gandhabba in a Human Body;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/brain-and-the-gandhabba/memory-recall-for-gandhabba-in-a-human-body/;memory-recall-for-gandhabba-in-a-human-body
18;32801;BD.CC.007;How Do We See? – Role of the Gandhabba;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/brain-and-the-gandhabba/how-do-we-see-role-of-the-gandhabba/;how-do-we-see-role-of-the-gandhabba
19;32276;BD.DD.001;Our Two Worlds – Rupa Loka and Nāma Loka;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/our-two-worlds-rupa-loka-and-nama-loka/;our-two-worlds-rupa-loka-and-nama-loka
20;32145;BD.DD.002;Autobiographical Memory – Preserved in Nāma Loka;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/our-two-worlds-rupa-loka-and-nama-loka/autobiographical-memory-preserved-in-nama-loka/;autobiographical-memory-preserved-in-nama-loka
21;32313;BD.DD.003;Rupa and Rupakkhandha, Nāma and Nāmagotta;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/our-two-worlds-rupa-loka-and-nama-loka/rupa-and-rupakkhandha/;rupa-and-rupakkhandha
22;32353;BD.DD.004;Response to a Sensory Stimulus – Role of Gati/Anusaya;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/our-two-worlds-rupa-loka-and-nama-loka/response-to-a-sensory-stimulus/;response-to-a-sensory-stimulus
23;32392;BD.DD.005;Ārammaṇa Plays a Critical Role in a Sensory Event;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/our-two-worlds-rupa-loka-and-nama-loka/arammana-plays-critical-role-in-sensory-event/;arammana-plays-critical-role-in-sensory-event
24;32083;BD.DD.006;Nāma Loka and Rupa Loka – Two Parts of Our World;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/our-two-worlds-rupa-loka-and-nama-loka/nama-loka-and-rupa-loka/;nama-loka-and-rupa-loka
25;32479;BD.EE.001;Tipiṭaka – A Systematic Approach;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/tipitaka-a-systematic-approach/;tipitaka-a-systematic-approach
26;32473;BD.EE.002;Tipiṭaka – The Uniqueness of Buddha Dhamma;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/tipitaka-a-systematic-approach/tipitaka-uniqueness-buddha-dhamma/;tipitaka-uniqueness-buddha-dhamma
27;32541;BD.EE.003;Pāli Canon Is Self-Contained but Requires Detailed Explanation;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/tipitaka-a-systematic-approach/pali-canon-is-self-contained-but-requires-detailed-explanation/;pali-canon-is-self-contained-but-requires-detailed-explanation
28;32517;BD.EE.004;Vinaya Piṭaka – More Than Disciplinary Rules;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/tipitaka-a-systematic-approach/vinaya-pitaka-more-than-disciplinary-rules/;vinaya-pitaka-more-than-disciplinary-rules
29;32542;BD.EE.005;Abhidhamma Piṭaka – Deeper Analyses of Concepts;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/tipitaka-a-systematic-approach/abhidhamma-pitaka-deeper-analyses-of-concepts/;abhidhamma-pitaka-deeper-analyses-of-concepts
30;11363;HB.AA.002;Incorrect Thēravada Interpretations – Historical Timeline;;HB;https://puredhamma.net/historical-background/incorrect-theravada-interpretations-historical-timeline/;incorrect-theravada-interpretations-historical-timeline
31;36833;ER.HH.001;Word-for-Word Translation of the Tipiṭaka;;ER;https://puredhamma.net/elephants-in-the-room/word-for-word-translation-of-the-tipitaka/;word-for-word-translation-of-the-tipitaka
32;36812;ER.BB.002;“Elephant in the Room” – Direct Translation of the Tipiṭaka;;ER;https://puredhamma.net/elephants-in-the-room/word-for-word-translation-of-the-tipitaka/elephant-in-the-room-direct-translation-of-the-tipitaka/;elephant-in-the-room-direct-translation-of-the-tipitaka
33;36445;ER.BB.003;Niddesa (Brief Description) of Paṭicca Samuppāda;;ER;https://puredhamma.net/elephants-in-the-room/word-for-word-translation-of-the-tipitaka/niddesa-brief-description-of-paticca-samuppada/;niddesa-brief-description-of-paticca-samuppada
34;36987;ER.CC.001;Paṭicca Samuppāda During a Lifetime;;ER;https://puredhamma.net/elephants-in-the-room/word-for-word-translation-of-the-tipitaka/paticca-samuppada-during-a-lifetime/;paticca-samuppada-during-a-lifetime
35;32724;BD.FF.001;Antarābhava and Gandhabba;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/antarabhava-and-gandhabba/;antarabhava-and-gandhabba
36;32718;BD.FF.002;Antarābhava – No Connection to Gandhabba;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/antarabhava-and-gandhabba/antarabhava-no-connection-to-gandhabba/;antarabhava-no-connection-to-gandhabba
37;32706;BD.FF.003;Antarābhava Discussion in Kathāvatthu – Not Relevant to Gandhabba;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/antarabhava-and-gandhabba/antarabhava-discussion-in-kathavatthu/;antarabhava-discussion-in-kathavatthu
38;32698;BD.FF.004;Interpretation of the Tipiṭaka – Gandhabba Example;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/antarabhava-and-gandhabba/interpretation-of-the-tipitaka-gandhabba-example/;interpretation-of-the-tipitaka-gandhabba-example
39;31359;BD.GG.001;Buddhahood Associated Controversies;;BD;https://puredhamma.net/dhamma/buddhahood-associated-controversies/;buddhahood-associated-controversies
40;31313;BD.GG.002;Buddhahood Controversies – Introduction;;BD;https://puredhamma.net/dhamma/buddhahood-associated-controversies/buddhahood-controversies-introduction/;buddhahood-controversies-introduction
41;31398;BD.GG.003;Pāṭihāriya (Supernormal Abilities) of a Buddha – Part I;;BD;https://puredhamma.net/dhamma/buddhahood-associated-controversies/patihariya-supernormal-abilities-of-a-buddha/;patihariya-supernormal-abilities-of-a-buddha
42;31445;BD.GG.004;Pāṭihāriya (Supernormal Abilities) of a Buddha – Part II;;BD;https://puredhamma.net/dhamma/buddhahood-associated-controversies/patihariya-iddhi-of-buddha/;patihariya-iddhi-of-buddha
43;126;BD.AA.002;What is Buddha Dhamma?;;BD;https://puredhamma.net/dhamma/what-is-buddha-dhamma/;what-is-buddha-dhamma
44;87;BD.AA.003;Foundation of Dhamma;;BD;https://puredhamma.net/dhamma/foundation-of-dhamma/;foundation-of-dhamma
45;91;BD.AA.004;The Importance of Purifying the Mind;;BD;https://puredhamma.net/dhamma/the-importance-of-purifying-the-mind-2/;the-importance-of-purifying-the-mind-2
46;115;BD.HH.001;The Grand Unified Theory of Dhamma;;BD;https://puredhamma.net/dhamma/the-grand-unified-theory-of-dhamma/;the-grand-unified-theory-of-dhamma
47;8531;BD.HH.002;The Grand Unified Theory of Dhammā – Introduction;;BD;https://puredhamma.net/dhamma/the-grand-unified-theory-of-dhamma/grand-unified-theory-of-dhamma/;grand-unified-theory-of-dhamma
48;8338;BD.HH.003;Our Two Worlds: Material and Immaterial;;BD;https://puredhamma.net/dhamma/our-two-worlds-material-immaterial/;our-two-worlds-material-immaterial
49;8467;BD.HH.004;31 Realms Associated with the Earth;;BD;https://puredhamma.net/dhamma/31-realms-associated-with-the-earth/;31-realms-associated-with-the-earth
50;8648;BD.HH.005;Gandhabba – Only in Human and Animal Realms;;BD;https://puredhamma.net/dhamma/the-grand-unified-theory-of-dhamma/gandhabba-only-in-human-and-animal-realms/;gandhabba-only-in-human-and-animal-realms
51;5622;AB.EE.002;Body Types in 31 Realms – Importance of Manomaya Kaya;;AB;https://puredhamma.net/abhidhamma/role-of-the-brain-in-human-consciousness/importance-of-manomaya-kaya/;importance-of-manomaya-kaya
52;8423;BD.HH.006;Gandhabba Sensing the World – With and Without a Physical Body;;BD;https://puredhamma.net/dhamma/the-grand-unified-theory-of-dhamma/gandhabba-sensing-the-world-with-and-without-a-physical-body/;gandhabba-sensing-the-world-with-and-without-a-physical-body
53;8789;BD.HH.007;Nibbāna in the Big Picture;;BD;https://puredhamma.net/dhamma/the-grand-unified-theory-of-dhamma/nibbana-in-the-big-picture/;nibbana-in-the-big-picture
54;4802;BD.AA.005;Buddha Dhamma: Non-Perceivability and Self-Consistency;;BD;https://puredhamma.net/dhamma/buddha-dhamma-non-perceivability-self-consistency/;buddha-dhamma-non-perceivability-self-consistency
55;244;BD.AA.006;Samsāric Time Scale, Buddhist Cosmology, and the Big Bang Theory;;BD;https://puredhamma.net/dhamma/samsaric-time-scale-buddhist-cosmology/;samsaric-time-scale-buddhist-cosmology
56;414;BD.AA.007;Evidence for Rebirth;;BD;https://puredhamma.net/dhamma/evidence-for-rebirth/;evidence-for-rebirth
57;6641;BD.II.001;Power of the Human Mind;;BD;https://puredhamma.net/dhamma/power-of-the-human-mind/;power-of-the-human-mind
58;6641;BD.II.002;Power of the Human Mind – Introduction;;BD;https://puredhamma.net/dhamma/what-is-buddha-dhamma/power-of-the-human-mind/;power-of-the-human-mind
59;11091;BD.II.003;Difference Between Jhāna and Stages of Nibbāna;;BD;https://puredhamma.net/dhamma/power-of-the-human-mind/jhana-stages-of-nibbana/;jhana-stages-of-nibbana
60;1268;BD.II.004;Power of the Human Mind – Anariya or Mundane Jhānas;;BD;https://puredhamma.net/dhamma/what-is-buddha-dhamma/power-of-the-human-mind-the-anariya-or-mundane-jhanas/;power-of-the-human-mind-the-anariya-or-mundane-jhanas
61;1297;BD.II.005;Power of the Human Mind – Ariya Jhānā;;BD;https://puredhamma.net/dhamma/what-is-buddha-dhamma/power-of-the-human-mind-ariya-jhanas/;power-of-the-human-mind-ariya-jhanas
62;11119;BD.II.006;Are There Procedures for Attaining Magga Phala, Jhāna and Abhiññā?;;BD;https://puredhamma.net/dhamma/power-of-the-human-mind/are-there-procedures-for-attaining-magga-phala-jhana-and-abhinna/;are-there-procedures-for-attaining-magga-phala-jhana-and-abhinna
63;2453;BD.AA.008;Transfer of Merits (Pattidāna) – How Does it Happen?;;BD;https://puredhamma.net/dhamma/transfer-of-merits-pattidana-punnanumodana/;transfer-of-merits-pattidana-punnanumodana
64;2947;BD.AA.009;First Noble Truth is Suffering? Myths about Suffering;;BD;https://puredhamma.net/dhamma/first-noble-truth-is-suffering-myths-about-suffering/;first-noble-truth-is-suffering-myths-about-suffering
65;2117;BD.AA.010;Vinaya – The Nature Likes to be in Equilibrium;;BD;https://puredhamma.net/dhamma/vinaya-the-nature-likes-to-be-in-equillibrium/;vinaya-the-nature-likes-to-be-in-equillibrium
66;205;KD.AA.000;Key Dhamma Concepts;;KD;https://puredhamma.net/key-dhamma-concepts/;key-dhamma-concepts
67;34890;KD.BB.001;Basic Framework of Buddha Dhamma;;KD;https://puredhamma.net/key-dhamma-concepts/basic-framework-of-buddha-dhamma/;basic-framework-of-buddha-dhamma
68;34772;KD.BB.002;Buddha Dhamma – Noble Truths, Paṭicca Samuppāda, Tilakkhana;;KD;https://puredhamma.net/key-dhamma-concepts/basic-framework-of-buddha-dhamma/buddha-dhamma-noble-truths-paticca-samuppada-tilakkhana/;buddha-dhamma-noble-truths-paticca-samuppada-tilakkhana
69;34687;KD.BB.003;Noble Truths, Paṭicca Samuppāda, Tilakkhana – Key Relationships;;KD;https://puredhamma.net/key-dhamma-concepts/basic-framework-of-buddha-dhamma/noble-truths-paticca-samuppada-tilakkhana-key-relationships/;noble-truths-paticca-samuppada-tilakkhana-key-relationships
70;34706;KD.BB.004;Anicca Nature, the First Noble Truth, and Paṭicca Samuppāda;;KD;https://puredhamma.net/key-dhamma-concepts/basic-framework-of-buddha-dhamma/anicca-nature-the-first-noble-truth-and-paticca-samuppada/;anicca-nature-the-first-noble-truth-and-paticca-samuppada
71;34872;KD.BB.005;Anicca Nature – Not Possible to Overcome Suffering in This World;;KD;https://puredhamma.net/key-dhamma-concepts/basic-framework-of-buddha-dhamma/tilakkhana-introduction/anicca-not-possible-to-overcome-suffering/;anicca-not-possible-to-overcome-suffering
72;35194;KD.CC.001;Subsection: Tilakkhana – Introduction;;KD;https://puredhamma.net/key-dhamma-concepts/basic-framework-of-buddha-dhamma/tilakkhana-introduction/;tilakkhana-introduction
73;35213;KD.CC.002;Anicca and Anatta – Two Characteristics of the World;;KD;https://puredhamma.net/key-dhamma-concepts/basic-framework-of-buddha-dhamma/tilakkhana-introduction/anicca-and-anatta-two-characteristics-of-the-world/;anicca-and-anatta-two-characteristics-of-the-world
74;35237;KD.CC.003;Anuloma Khanti and Sammattaniyāma – Pre-requisites for a Sotapanna;;KD;https://puredhamma.net/key-dhamma-concepts/basic-framework-of-buddha-dhamma/tilakkhana-introduction/anuloma-khanti-sammattaniyama-pre-requisites-for-a-sotapanna/;anuloma-khanti-sammattaniyama-pre-requisites-for-a-sotapanna
76;35146;KD.CC.004;Dukkha in Tilakkhana Is a Characteristic – Not Dukkha Vedanā;;KD;https://puredhamma.net/key-dhamma-concepts/basic-framework-of-buddha-dhamma/tilakkhana-introduction/dukkha-in-tilakkhana-is-a-characteristic-not-dukkha-vedana/;dukkha-in-tilakkhana-is-a-characteristic-not-dukkha-vedana
77;35352;KD.CC.005;Attachment to Things with Dukkha Lakkhana Leads to Dukkha;;KD;https://puredhamma.net/key-dhamma-concepts/basic-framework-of-buddha-dhamma/tilakkhana-introduction/attachment-to-things-with-dukkha-lakkhana-leads-to-dukkha/;attachment-to-things-with-dukkha-lakkhana-leads-to-dukkha
78;35094;KD.CC.006;How Does Anicca Nature Lead to Dukkha?;;KD;https://puredhamma.net/key-dhamma-concepts/basic-framework-of-buddha-dhamma/tilakkhana-introduction/how-does-anicca-nature-lead-to-dukkha/;how-does-anicca-nature-lead-to-dukkha
79;35303;KD.CC.007;Anatta is a Characteristic of the World, not About a “Self”;;KD;https://puredhamma.net/key-dhamma-concepts/basic-framework-of-buddha-dhamma/tilakkhana-introduction/anatta-is-a-characteristic-of-the-world-not-about-a-self/;anatta-is-a-characteristic-of-the-world-not-about-a-self
80;34991;KD.CC.008;Anatta in Anattalakkhaṇa Sutta – Part 1;;KD;https://puredhamma.net/key-dhamma-concepts/basic-framework-of-buddha-dhamma/tilakkhana-introduction/anatta-in-anattalakkhana-sutta-part-1/;anatta-in-anattalakkhana-sutta-part-1
81;35575;KD.CC.009;Anatta in Anattalakkhaṇa Sutta – Part 2;;KD;https://puredhamma.net/key-dhamma-concepts/basic-framework-of-buddha-dhamma/tilakkhana-introduction/anatta-in-anattalakkhana-sutta-part-2/;anatta-in-anattalakkhana-sutta-part-2
82;3718;KD.DD.001;San – A Critical Pāli Root;;KD;https://puredhamma.net/key-dhamma-concepts/san/;san
83;211;KD.DD.002;What is “San”? Meaning of Sansāra (or Saṃsāra);;KD;https://puredhamma.net/key-dhamma-concepts/san-dasa-akusala/;san-dasa-akusala
84;476;KD.DD.003;Sankhāra, Kamma, Kamma Bīja, Kamma Vipāka;;KD;https://puredhamma.net/key-dhamma-concepts/sankhara-kamma-kamma-vipaka/;sankhara-kamma-kamma-vipaka
85;4079;KD.DD.004;Sankhāra – Life is a Bundle of Sankhāra;;KD;https://puredhamma.net/key-dhamma-concepts/san/sankhara-life-is-a-bundle-of-sankhara/;sankhara-life-is-a-bundle-of-sankhara
86;41367;PS.DD.004;Difference Between Dhammā and Saṅkhāra;;PS;https://puredhamma.net/paticca-samuppada/difference-between-dhamma-and-sa%e1%b9%85khara/;difference-between-dhamma-and-sa%e1%b9%85khara
87;52776;KD.DD.005;Kamma are Done with Abhisaṅkhāra – Types of Abhisaṅkhāra;;;https://puredhamma.net/kamma-are-done-with-abhisa%e1%b9%85khara-types-of-abhisa%e1%b9%85khara/;kamma-are-done-with-abhisa%e1%b9%85khara-types-of-abhisa%e1%b9%85khara
88;3721;KD.EE.001;Nibbāna;;KD;https://puredhamma.net/key-dhamma-concepts/nibbana-2/;nibbana-2
89;209;KD.EE.002;Nibbāna – Is it Difficult to Understand?;;KD;https://puredhamma.net/key-dhamma-concepts/nibbana-difficult-to-understand/;nibbana-difficult-to-understand
90;168;BD.JJ.001;The Four Stages in Attaining Nibbāna;;BD;https://puredhamma.net/dhamma/what-is-buddha-dhamma/the-four-stages-in-attaining-nibbana/;the-four-stages-in-attaining-nibbana
91;931;BD.JJ.002;What Are Rūpa? (Relation to Nibbāna);;BD;https://puredhamma.net/dhamma/what-is-buddha-dhamma/what-are-rupa-relation-to-nibbana/;what-are-rupa-relation-to-nibbana
92;1708;BD.JJ.003;Nirāmisa Sukha;;BD;https://puredhamma.net/dhamma/what-is-buddha-dhamma/niramisa-sukha-happiness-arising-from-dissociating-from-the-31-realms/;niramisa-sukha-happiness-arising-from-dissociating-from-the-31-realms
93;145;TL.CC.006;How to Taste Nibbāna;;TL;https://puredhamma.net/three-levels-of-practice/moral-living-and-fundamentals/how-to-taste-nibbana/;how-to-taste-nibbana
94;1870;KD.EE.003;Does the First Noble Truth Describe only Suffering?;;KD;https://puredhamma.net/key-dhamma-concepts/does-the-first-noble-truth-describe-only-suffering/;does-the-first-noble-truth-describe-only-suffering
96;9839;KD.EE.004;Nibbāna “Exists”, but Not in This World;;KD;https://puredhamma.net/key-dhamma-concepts/nibbana-2/nibbana-exists-but-not-in-this-world/;nibbana-exists-but-not-in-this-world
97;3715;KD.FF.001;Anicca, Dukkha, Anatta;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/;anicca-dukkha-anatta-2
98;45428;KD.FF.002;Anicca, Dukkha, Anatta – Distortion Timeline;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anicca-dukkha-anatta-distortion-timeline/;anicca-dukkha-anatta-distortion-timeline
99;213;KD.FF.003;Anicca, Dukkha, Anatta – Wrong Interpretations;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anicca-dukkha-anatta/;anicca-dukkha-anatta
100;11372;HB.AA.018;Misinterpretation of Anicca and Anatta by Early European Scholars;;HB;https://puredhamma.net/historical-background/misinterpretation-of-anicca-and-anatta-by-early-european-scholars/;misinterpretation-of-anicca-and-anatta-by-early-european-scholars
101;31325;KD.FF.004;The Way to Nibbāna – Transcription of a Discourse by Waharaka Thero;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/the-way-to-nibbana-transcription-of-a-discourse-by-waharaka-thero/;the-way-to-nibbana-transcription-of-a-discourse-by-waharaka-thero
102;1670;KD.FF.005;Anicca – True Meaning;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anicca-true-meaning/;anicca-true-meaning
103;11983;KD.FF.006;Anicca – Inability to Keep What We Like;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anicca-inability-to-keep-what-we-like/;anicca-inability-to-keep-what-we-like
104;4061;KD.FF.007;Anicca – Repeated Arising/Destruction;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anicca-repeated-arisingdestruction/;anicca-repeated-arisingdestruction
105;11934;KD.FF.008;Anicca – Worthlessness of Worldly Things;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anicca-worthlessness-of-worldly-things/;anicca-worthlessness-of-worldly-things
106;2343;KD.FF.009;Anicca – The Incessant Distress (“Pīḷana”);;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anicca-true-meaning/incesssant-distress-pilana/;incesssant-distress-pilana
107;5044;KD.FF.010;How to Cultivate the Anicca Saññā;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/how-to-cultivate-the-anicca-sanna/;how-to-cultivate-the-anicca-sanna
108;6459;KD.FF.011;How to Cultivate the Anicca Saññā – II;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/how-to-cultivate-the-anicca-sanna-ii/;how-to-cultivate-the-anicca-sanna-ii
109;4156;KD.FF.012;If Everything is Anicca Should We Just give up Everything?;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/if-everything-is-anicca-should-we-just-give-up-everything/;if-everything-is-anicca-should-we-just-give-up-everything
110;20727;KD.FF.013;Anatta – A Systematic Analysis;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anatta-systematic-analysis/;anatta-systematic-analysis
111;23368;KD.FF.014;Anattā in Anattalakkahana Sutta – No Soul or an Ātma;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anatta-systematic-analysis/anatta-no-soul-no-atma/;anatta-no-soul-no-atma
112;23475;KD.FF.015;Anatta – No Refuge in This World;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anatta-systematic-analysis/anatta-no-refuge-in-this-world/;anatta-no-refuge-in-this-world
113;11036;KD.FF.016;Dasa Akusala and Anatta – The Critical Link;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/dasa-akusala-and-anatta-the-critical-link/;dasa-akusala-and-anatta-the-critical-link
114;10967;KD.FF.017;Anatta – the Opposite of Which Atta?;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anatta-opposite-of-which-atta/;anatta-opposite-of-which-atta
115;20597;KD.FF.018;Anattā (Mundane Interpretation) – No “Unchanging Self”;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anatta-systematic-analysis/anatta-no-unchanging-self/;anatta-no-unchanging-self
118;20495;KD.FF.028;Types of Bodies in 31 Realms – Connection to Jhāna;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anatta-systematic-analysis/31-realms-connection-to-jhana/;31-realms-connection-to-jhana
119;20660;KD.FF.029;Finest Manōmaya Kaya of an Arūpāvacara Brahma;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anatta-systematic-analysis/manomaya-kaya-of-arupavacara-brahma/;manomaya-kaya-of-arupavacara-brahma
120;2668;KD.FF.019;Anatta and Dukkha – True Meanings;;KD;https://puredhamma.net/key-dhamma-concepts/anatta-why-the-concept-of-no-soul-could-be-as-bad-as-the-concept-of-a-soul/;anatta-why-the-concept-of-no-soul-could-be-as-bad-as-the-concept-of-a-soul
121;4960;KD.FF.020;Anicca, Dukkha, Anatta – According to Some Key Suttā;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/tilakkhana-according-to-some-key-sutta/;tilakkhana-according-to-some-key-sutta
122;13944;KD.FF.021;Tilakkhana – English Discourses;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/tilakkhana-english-discourses/;tilakkhana-english-discourses
123;23670;KD.FF.022;Sotāpanna Stage and Tilakkhaṇa;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/sotapanna-stage-and-tilakkhana/;sotapanna-stage-and-tilakkhana
124;23426;KD.FF.023;Sakkāya Diṭṭhi and Tilakkhana;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/sotapanna-stage-and-tilakkhana/sakkaya-ditthi-and-tilakkhana/;sakkaya-ditthi-and-tilakkhana
125;23236;KD.FF.024;Sakkāya Diṭṭhi – Getting Rid of Deeper Wrong Views;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/sotapanna-stage-and-tilakkhana/sakkaya-ditthi-deeper-wrong-views/;sakkaya-ditthi-deeper-wrong-views
126;23749;KD.FF.025;Associations (Sēvana)- A Root Cause of Wrong Views;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/sotapanna-stage-and-tilakkhana/associations-sevana-root-cause-of-wrong-views/;associations-sevana-root-cause-of-wrong-views
127;8132;KD.FF.026;Why are Tilakkhana not Included in 37 Factors of Enlightenment?;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/why-are-tilakkhana-not-included-in-37-factors-of-enlightenment/;why-are-tilakkhana-not-included-in-37-factors-of-enlightenment
128;8138;KD.FF.027;Two Versions of 37 Factors of Enlightenment;;KD;https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/two-versions-of-37-factors-of-enlightenment/;two-versions-of-37-factors-of-enlightenment
131;5417;KD.GG.001;Gati, Bhava, and Jāti;;KD;https://puredhamma.net/key-dhamma-concepts/gati-bhava-jati/;gati-bhava-jati
