pdpn,status,summary_path,audio_url,video_url,telegram_url,spotify_url,youtube_url,source_audio_filename,source_video_filename,summary_sha256,audio_sha256,video_sha256,audio_bytes,video_bytes,notes
AB.CC.002,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/023_AB.CC.002/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/023_AB.CC.002/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,383881169f26650717b6a433a08031d42fcdd82e9f3ed66961316d7d8cee68ad,6b74a9ede0226aa23471f3a80d3e1fdf287262f8cfcd007c64a090f447ec457e,50104066,73801375,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.DD.005,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/024_TL.DD.005/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/024_TL.DD.005/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,8a3c2012cf37587e567cf4dd0bb601cd2ee34e2dc655ffb119385d82b53c5c6e,aca67b9ac6abab3d47e4c0f0645ecc45c200348487dfc09a680cc12706aba40f,47487756,60841845,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.DD.006,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/025_TL.DD.006/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/025_TL.DD.006/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,f39d7b7d22aa5ba97e85c6b16a83cbfa66d2168958faee3bf98816cc6d351105,53786d663a30ef72868715fdc4a0ed70bf16a961394bc9a6b1701ae4b68132ec,37532860,48863702,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.EE.002,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/026_TL.EE.002/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/026_TL.EE.002/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,9f79a4e1f3928b9cbd1b2f76a4d67bdb914d7966b70f11a64eee620dd549721b,e466bcb7bfed6e1313cfbec570fba297e687f6d7b34ffb0b0b531bce5324e1ba,40080442,64238695,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
AB.BB.003,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/027_AB.BB.003/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/027_AB.BB.003/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,491a84b816dcd1e541ad8fa7d232eee084493313a67e98d9d24d7c88b357f096,763d644c477aa67d40376a48347b45e9d65f6cef6fa6963303ce26578cc63252,46715833,65736573,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.EE.003,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/028_TL.EE.003/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/028_TL.EE.003/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,998be0296d522139ba2b8522b0ad8a186777171efba065e4166e980d68639593,c018052a08d954fa42d554ede459378089848657a6b04355307036ff2e4199f5,54914493,54990142,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.EE.004,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/029_TL.EE.004/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/029_TL.EE.004/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,9f1f36eb6bc774ab8719a386ba354efafd0ae787d1b70a8613c618db6455af03,fea0acbe82abcfe43dfde94419299eca9cbaa190f982ad3ba26e65e51029c649,48429373,45292560,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.EE.005,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/030_TL.EE.005/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/030_TL.EE.005/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,1105676e435ce068817dc23d3c549050a225c161ffbef71110b935094d523236,e2e7df70819ff535522f659b7f96eb35d0fd43f263df6f9574656b99afa337ef,51802034,38995456,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.EE.007,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/031_TL.EE.007/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/031_TL.EE.007/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,27d0486f35e3b367ac62fdfb29935b9bf14677c42a63dd28f66934f1047ac001,bdcb227dd057c99ddc2a2dd251a17625af614d7a47d02c4ee064e5acd66e8647,38770419,54108848,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.EE.006,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/032_TL.EE.006/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/032_TL.EE.006/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,a398e2ed67ceedd6aaed944a6f97501fa58cc2871e280d5706d9022da9afd414,55769946c463c38803e75bec9c04ee9eb2d4e71907762ac6cca1da941a5a5f69,32486368,64298797,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
